iter	Passed	Remaining
190	620	2629
191	622	2619
192	623	2607
193	624	2595
194	629	2600
195	631	2591
196	634	2584
197	636	2579
198	638	2569
199	640	2560
200	641	2551
201	646	2552
202	647	2542
203	649	2532
204	650	2523
205	659	2543
206	661	2532
207	662	2524
208	664	2513
209	665	2502
210	666	2492
211	667	2482
212	669	2472
213	670	2462
214	676	2468
215	677	2460
216	679	2451
217	680	2442
218	682	2432
219	686	2435
220	689	2429
221	690	2418
222	691	2408
223	692	2398
224	693	2388
225	694	2378
226	695	2367
227	698	2363
228	699	2355
229	701	2347
230	702	2338
231	703	2329
232	704	2320
233	705	2310
234	707	2301
235	708	2294
236	711	2291
237	713	2283
238	714	2275
239	715	2266
240	716	2256
241	717	2247
242	722	2250
243	724	2243
244	725	2235
245	728	2232
246	734	2237
247	735	2230
248	736	2221
249	737	2213
250	738	2204
251	739	2195
252	743	2194
253	744	2187
254	745	2179
255	746	2170
256	748	2164
257	749	2155
258	750	2147
259	756	2152
260	757	2145
261	759	2138
262	760	2130
263	761	2122
264	764	2120
265	768	2121
266	770	2115
267	777	2124
268	779	2118
269	780	2110
270	782	2104
271	785	2102
272	787	2097
273	788	2090
274	789	2082
275	791	2076
276	792	2068
277	793	2060
278	795	2055
279	799	2055
280	801	2051
281	802	2043
282	803	2036
283	805	2029
284	807	2025
285	809	2020
286	810	2014
287	811	2007
288	813	2000
289	814	1993
290	815	1986
291	821	1991
292	823	1987
293	824	1980
294	826	1974
295	827	1967
296	828	1960
297	829	1953
298	832	1951
299	835	1948
300	835	1941
301	836	1934
302	838	1927
303	839	1921
304	840	1914
305	841	1907
306	846	1910
307	847	1904
308	848	1898
309	849	1891
310	851	1886
311	852	1879
312	854	1876
313	857	1872
314	858	1866
315	859	1861
316	860	1854
317	861	1848
318	862	1842
319	864	1838
320	869	1839
321	870	1833
322	871	1827
323	873	1822
324	874	1816
325	875	1809
326	877	1805
327	882	1807
328	883	1802
329	884	1796
330	886	1790
331	886	1784
332	888	1779
333	890	1775
334	892	1771
335	893	1766
336	895	1760
337	896	1755
338	897	1749
339	898	1744
340	900	1740
341	902	1735
342	904	1732
343	905	1726
344	906	1721
345	908	1716
346	909	1712
347	910	1706
348	913	1704
349	915	1700
350	916	1695
351	917	1689
352	918	1683
353	920	1679
354	921	1674
355	923	1670
356	925	1666
357	926	1661
358	927	1655
359	928	1649
360	929	1645
361	931	1641
362	933	1637
363	935	1634
364	936	1629
365	938	1624
366	939	1619
367	940	1614
368	941	1609
369	942	1604
370	945	1603
371	947	1598
372	948	1594
373	949	1588
374	950	1584
375	951	1579
376	952	1574
377	954	1570
378	958	1570
379	959	1565
380	960	1560
381	962	1556
382	963	1551
383	964	1547
384	966	1543
385	970	1543
386	971	1539
387	972	1534
388	978	1537
389	981	1535
390	982	1530
391	983	1525
392	985	1521
393	986	1516
394	988	1514
395	990	1511
396	992	1507
397	993	1502
398	994	1498
399	995	1493
400	997	1489
401	998	1485
402	1001	1483
403	1002	1479
404	1003	1474
405	1004	1470
406	1006	1465
407	1007	1462
408	1009	1459
409	1012	1457
410	1013	1453
411	1015	1449
412	1016	1445
413	1017	1440
414	1019	1437
415	1024	1438
416	1025	1434
417	1027	1430
418	1028	1426
419	1030	1422
420	1033	1421
421	1035	1418
422	1037	1414
423	1038	1411
424	1040	1407
425	1042	1404
426	1045	1402
427	1046	1398
428	1047	1394
429	1057	1401
430	1058	1397
431	1060	1394
432	1062	1390
433	1064	1387
434	1065	1384
435	1067	1380
436	1068	1376
437	1069	1372
438	1070	1368
439	1072	1364
440	1076	1363
441	1077	1360
442	1079	1356
443	1080	1353
444	1081	1349
445	1082	1345
446	1086	1344
447	1088	1340
448	1089	1337
449	1091	1333
450	1104	1345
451	1119	1357
452	1139	1376
453	1151	1385
454	1164	1394
455	1171	1397
456	1179	1400
457	1200	1420
458	1204	1419
459	1233	1448
460	1244	1455
461	1255	1462
462	1257	1458
463	1271	1468
464	1276	1468
465	1277	1464
466	1279	1460
467	1282	1458
468	1284	1453
469	1285	1449
470	1287	1445
471	1301	1456
472	1310	1459
473	1312	1456
474	1313	1451
475	1322	1456
476	1324	1452
477	1326	1448
478	1339	1456
479	1341	1452
480	1343	1449
481	1345	1445
482	1349	1444
483	1350	1440
484	1352	1436
485	1363	1442
486	1365	1438
487	1376	1444
488	1378	1440
489	1390	1446
490	1393	1444
491	1395	1440
492	1406	1446
493	1409	1443
494	1413	1442
495	1422	1445
496	1425	1442
497	1447	1459
498	1464	1470
499	1468	1468
500	1473	1468
501	1484	1472
502	1499	1481
503	1542	1517
504	1545	1514
505	1559	1522
506	1561	1518
507	1566	1516
508	1569	1514
509	1643	1578
510	1652	1581
511	1658	1580
512	1668	1583
513	1670	1579
514	1681	1583
515	1684	1580
516	1694	1582
517	1700	1582
518	1702	1578
519	1705	1574
520	1709	1571
521	1712	1567
522	1716	1565
523	1726	1568
524	1730	1565
525	1741	1569
526	1745	1566
527	1755	1569
528	1758	1565
529	1771	1571
530	1775	1567
531	1778	1564
532	1780	1559
533	1787	1560
534	1790	1555
535	1792	1551
536	1794	1547
537	1801	1546
538	1805	1544
539	1808	1540
540	1816	1540
541	1818	1536
542	1820	1532
543	1824	1528
544	1827	1525
545	1828	1520
546	1831	1516
547	1841	1519
548	1844	1515
549	1851	1514
550	1854	1511
551	1857	1507
552	1866	1508
553	1868	1503
554	1869	1499
555	1871	1494
556	1879	1495
557	1882	1491
558	1885	1487
559	1887	1482
560	1889	1478
561	1891	1474
562	1899	1474
563	1903	1471
564	1905	1467
565	1912	1466
566	1915	1463
567	1919	1459
568	1921	1455
569	1924	1451
570	1926	1447
571	1929	1443
572	1936	1442
573	1939	1439
574	1941	1434
575	1944	1431
576	1950	1430
577	1954	1426
578	1956	1422
579	1963	1422
580	1966	1418
581	1969	1414
582	1972	1411
583	1980	1410
584	1983	1407
585	1986	1403
586	1994	1403
587	1997	1399
588	2011	1403
589	2014	1399
590	2017	1395
591	2020	1392
592	2023	1388
593	2029	1387
594	2032	1383
595	2035	1379
596	2038	1375
597	2046	1375
598	2049	1371
599	2053	1368
600	2055	1364
601	2057	1360
602	2060	1356
603	2062	1351
604	2064	1348
605	2066	1343
606	2068	1339
607	2070	1334
608	2072	1330
609	2073	1325
610	2076	1322
611	2085	1322
612	2088	1318
613	2089	1313
614	2098	1313
615	2101	1310
616	2104	1306
617	2111	1305
618	2115	1302
619	2118	1298
620	2125	1297
621	2128	1293
622	2132	1290
623	2135	1286
624	2137	1282
625	2140	1279
626	2147	1277
627	2149	1273
628	2151	1269
629	2154	1265
630	2161	1264
631	2164	1260
632	2166	1256
633	2173	1254
634	2175	1250
635	2178	1246
636	2181	1243
637	2189	1242
638	2191	1237
639	2194	1234
640	2202	1233
641	2204	1229
642	2207	1225
643	2209	1221
644	2217	1220
645	2220	1216
646	2223	1213
647	2230	1211
648	2233	1207
649	2235	1203
650	2244	1203
651	2247	1199
652	2249	1195
653	2252	1191
654	2255	1187
655	2256	1183
656	2259	1179
657	2265	1177
658	2267	1173
659	2269	1169
660	2273	1165
661	2282	1165
662	2284	1161
663	2288	1157
664	2295	1156
665	2298	1152
666	2301	1148
667	2308	1147
668	2310	1143
669	2313	1139
670	2323	1139
671	2326	1135
672	2331	1132
673	2333	1128
674	2336	1124
675	2338	1121
676	2341	1116
677	2342	1112
678	2345	1108
679	2355	1108
680	2356	1104
681	2359	1099
682	2360	1095
683	2363	1091
684	2365	1088
685	2369	1084
686	2375	1082
687	2378	1078
688	2380	1074
689	2384	1071
690	2386	1067
691	2388	1063
692	2391	1059
693	2398	1057
694	2400	1053
695	2403	1049
696	2406	1045
697	2412	1043
698	2414	1039
699	2416	1035
700	2419	1032
701	2425	1029
702	2429	1026
703	2432	1022
704	2439	1020
705	2441	1016
706	2444	1013
707	2447	1009
708	2454	1007
709	2456	1003
710	2459	999
711	2461	995
712	2468	993
713	2470	989
714	2473	985
715	2475	981
716	2477	977
717	2488	977
718	2489	973
719	2491	968
720	2502	968
721	2504	964
722	2515	963
723	2517	959
724	2519	955
725	2521	951
726	2523	947
727	2533	946
728	2535	942
729	2538	938
730	2545	936
731	2547	932
732	2549	928
733	2560	928
734	2561	923
735	2563	919
736	2565	915
737	2574	914
738	2576	910
739	2578	906
740	2591	905
741	2593	901
742	2600	899
743	2602	895
744	2604	891
745	2618	891
746	2632	891
747	2635	887
748	2645	886
749	2647	882
750	2649	878
751	2652	874
752	2653	870
753	2654	866
754	2656	861
755	2658	858
756	2672	858
757	2675	854
758	2676	849
759	2678	845
760	2680	841
761	2689	840
762	2691	835
763	2692	831
764	2695	827
765	2704	826
766	2706	822
767	2708	818
768	2710	814
769	2712	810
770	2715	806
771	2717	802
772	2731	802
773	2741	800
774	2757	800
775	2774	800
776	2775	796
777	2780	793
778	2783	789
779	2784	785
780	2793	783
781	2795	779
782	2797	775
783	2799	771
784	2809	769
785	2812	765
786	2815	761
787	2821	759
788	2823	755
789	2826	751
790	2828	747
791	2831	743
792	2833	739
793	2841	737
794	2843	733
795	2844	729
796	2847	725
797	2857	723
798	2859	719
799	2862	715
800	2870	713
801	2872	709
802	2873	705
803	2875	701
804	2886	699
805	2889	695
806	2898	693
807	2899	689
808	2902	685
809	2912	683
810	2914	679
811	2918	675
812	2925	672
813	2928	669
814	2930	665
815	2941	663
816	2943	659
817	2945	655
818	2958	653
819	2960	649
820	2962	645
821	2964	641
822	2965	637
823	2968	634
824	2978	631
825	2982	628
826	2990	625
827	2993	621
828	2995	617
829	2997	613
830	3006	611
831	3008	607
832	3010	603
833	3020	601
834	3022	597
835	3024	593
836	3033	590
837	3035	586
838	3037	582
839	3039	579
840	3041	575
841	3057	573
842	3059	569
843	3061	565
844	3065	562
845	3066	558
846	3068	554
847	3068	550
848	3071	546
849	3075	542
850	3077	538
851	3087	536
852	3090	532
853	3093	528
854	3103	526
855	3105	522
856	3108	518
857	3117	516
858	3119	512
859	3122	508
860	3132	505
861	3134	501
862	3136	497
863	3143	494
864	3148	491
865	3151	487
866	3162	485
867	3164	481
868	3166	477
869	3168	473
870	3169	469
871	3172	465
872	3185	463
873	3187	459
874	3197	456
875	3200	453
876	3210	450
877	3213	446
878	3222	443
879	3228	440
880	3231	436
881	3239	433
882	3242	429
883	3246	425
884	3249	422
885	3252	418
886	3260	415
887	3263	411
888	3267	407
889	3274	404
890	3277	400
891	3279	397
892	3282	393
893	3289	389
894	3291	386
895	3295	382
896	3304	379
897	3310	376
898	3318	372
899	3321	369
900	3324	365
901	3327	361
902	3331	357
903	3339	354
904	3341	350
905	3345	347
906	3353	343
907	3356	340
908	3360	336
909	3369	333
910	3371	329
911	3374	325
912	3382	322
913	3384	318
914	3388	314
915	3396	311
916	3399	307
917	3402	303
918	3412	300
919	3416	297
920	3423	293
921	3426	289
922	3430	286
923	3439	282
924	3441	279
925	3445	275
926	3454	272
927	3457	268
928	3460	264
929	3463	260
930	3467	256
931	3474	253
932	3477	249
933	3481	246
934	3488	242
935	3491	238
936	3494	234
937	3502	231
938	3505	227
939	3508	223
940	3516	220
941	3518	216
942	3521	212
943	3524	209
944	3526	205
945	3529	201
946	3531	197
947	3539	194
948	3542	190
949	3546	186
950	3552	183
951	3556	179
952	3559	175
953	3565	171
954	3568	168
955	3571	164
956	3574	160
957	3581	157
958	3584	153
959	3587	149
960	3594	145
961	3597	142
962	3598	138
963	3600	134
964	3608	130
965	3610	127
966	3612	123
967	3615	119
968	3624	115
969	3627	112
970	3630	108
971	3636	104
972	3639	100
973	3642	97
974	3649	93
975	3653	89
976	3656	86
977	3664	82
978	3667	78
979	3669	74
980	3671	71
981	3679	67
982	3682	63
983	3686	59
984	3690	56
985	3692	52
986	3695	48
987	3701	44
988	3705	41
989	3709	37
990	3761	34
991	3765	30
992	3769	26
993	3828	23
994	3832	19
995	3835	15
996	3838	11
997	3846	7
998	3850	3
999	3853	0
